17-18	詹姆斯-哈登	35.4	8.8	1.8	0.7	30.4
16-17	拉塞尔-威斯布鲁克	34.6	10.4	1.6	0.4	31.6
15-16	斯蒂芬-库里	34.2	6.7	2.1	0.2	30.1
14-15	拉塞尔-威斯布鲁克	34.4	8.6	2.1	0.2	28.1
13-14	凯文-杜兰特	38.5	5.5	1.3	0.7	32.0
12-13	卡梅罗-安东尼	37.0	2.6	0.8	0.5	28.7
11-12	凯文-杜兰特	38.6	3.5	1.3	1.2	28.0
10-11	凯文-杜兰特	38.9	2.7	1.1	1.0	27.7
09-10	凯文-杜兰特	39.5	2.8	1.4	1.0	30.1
08-09	德维恩-韦德	38.6	7.5	2.2	1.3	30.2
07-08	勒布朗-詹姆斯	40.4	7.2	1.8	1.1	30.0
06-07	科比-布莱恩特	40.8	5.4	1.4	0.5	31.6
05-06	科比-布莱恩特	41.0	4.5	1.8	0.4	35.4
04-05	阿伦-艾弗森	42.3	7.9	2.4	0.1	30.7
03-04	特雷西-麦克格雷迪	39.9	5.5	1.4	0.6	28.0
02-03	特雷西-麦克格雷迪	39.4	5.5	1.7	0.8	32.1
01-02	阿伦-艾弗森	43.7	5.5	2.8	0.2	31.4
00-01	阿伦-艾弗森	42.0	4.6	2.5	0.3	31.1
99-00	沙奎尔-奥尼尔	40.0	3.8	0.5	3.0	29.7
98-99	阿伦-艾弗森	41.5	4.6	2.3	0.1	26.8
97-98	迈克尔-乔丹	38.8	3.5	1.7	0.5	28.7
96-97	迈克尔-乔丹	37.9	4.3	1.7	0.5	29.6
95-96	迈克尔-乔丹	37.7	4.3	2.2	0.5	30.4
94-95	沙奎尔-奥尼尔	37.0	2.7	0.9	2.4	29.3
93-94	大卫-罗宾逊	40.5	4.8	1.7	3.3	29.8
92-93	迈克尔-乔丹	39.3	5.5	2.8	0.8	32.6
91-92	迈克尔-乔丹	38.8	6.1	2.3	0.9	30.1
90-91	迈克尔-乔丹	37.0	5.5	2.7	1.0	31.5
89-90	迈克尔-乔丹	39.0	6.3	2.8	0.7	33.6
88-89	迈克尔-乔丹	40.2	8.0	2.9	0.8	32.5
87-88	迈克尔-乔丹	40.4	5.9	3.2	1.6	35.0
86-87	迈克尔-乔丹	40.0	4.6	2.9	1.5	37.1
85-86	多米尼克-威尔金斯	39.1	2.6	1.8	0.6	30.3
84-85	伯纳德-金	37.5	3.7	1.3	0.3	32.9
83-84	阿德里安-丹特利	37.8	3.9	0.8	0.1	30.6
82-83	阿历克斯-英格利什	36.4	4.8	1.4	1.5	28.4
81-82	乔治-格文	35.7	2.4	1.0	0.6	32.3
